Day,Total
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,2
29,3
30,5
31,5
32,7
33,10
34,11
35,15
36,19
37,21
38,22
39,24
40,27
41,29
42,31
43,33
44,38
45,43
46,47
47,51
48,54
49,61
50,70
51,74
52,77
53,82
54,85
55,90
56,92
57,101
58,105
59,112
60,118
61,122
62,125
63,131
64,135
65,138
66,138
67,142
68,146
69,146
70,149
71,151
72,156
73,160
74,168
75,177
76,181
77,184
78,187
79,189
80,190
81,193
82,195
83,196
84,196
85,198
86,198
87,203
88,205
89,208
90,210
91,212
92,213
93,214
94,217
95,218
96,219
97,221
98,223
99,223
100,229
101,230
102,232
103,234
104,234
105,234
106,235
107,237
108,237
109,239
110,240
111,241
112,241
113,243
114,243
115,245
116,245
117,246
118,247
119,248
120,249
121,250
122,251
123,251
124,251
125,252
126,252
127,252
128,252
129,254
130,254
131,254
132,255
133,255
134,255
135,255
136,255
137,255
138,255
139,256
140,256
141,256
142,256
143,256
144,256
145,256
146,256
147,256
148,256
149,256
150,256
151,256
152,256
153,256
154,256
155,256
156,256
157,256
158,256
159,256
160,256
161,256
162,256
163,256
164,256
165,256
166,256
167,256
168,256
169,256
170,256
171,256
172,257
173,257
174,257
175,257
176,257
177,257
178,257
179,257
180,257
181,257
182,257
183,257
184,257
185,257
186,257
187,257
188,257
189,257
190,257
191,257
192,257
193,257
194,257
195,257
196,257
197,257
198,257
199,257
200,257
201,257
202,257
203,257
204,258
205,258
206,259
207,259
208,259
209,260
210,260
211,261
212,261
213,261
214,262
215,264
216,264
217,264
218,264
219,264
220,264
221,264
222,264
223,264
224,264
225,264
226,264
227,264
228,264
229,264
230,265
231,266
232,266
233,267
234,268
235,268
236,268
237,269
238,269
239,270
240,271
241,271
242,271
243,272
244,273
245,273
246,273
247,274
248,275
249,276
250,278
251,280
252,283
253,285
254,286
255,288
256,290
257,294
258,294
259,296
260,298
261,301
262,304
263,305
264,310
265,313
266,315
267,317
268,319
269,321
270,322
271,324
272,329
273,337
274,345
275,349
276,352
277,358
278,361
279,366
280,370
281,378
282,382
283,386
284,386
285,389
286,394
287,399
288,400
289,404
290,408
291,409
292,412
293,414
294,414
295,415
296,418
297,422
298,424
299,427
300,431
301,433
302,435
303,438
304,443
305,445
306,450
307,451
308,454
309,461
310,463
311,469
312,472
313,475
314,619
315,627
316,634
317,642
318,650
319,663
320,668
321,672
322,678
323,682
324,688
325,692
326,697
327,703
328,710
329,717
330,724
331,725
332,730
333,732
334,735
335,744
336,747
337,753
338,757
339,757
340,759
341,766
342,767
343,768
344,769
345,774
346,775
347,775
348,777
349,778
350,779
351,780
352,780
353,784
354,784
355,784
356,785
357,785
358,785
359,785
360,785
361,786
362,786
363,787
364,787
365,787
366,787
367,787
368,787
369,787
370,787
371,787
372,788
373,788
374,789
375,789
376,789
377,789
378,789
379,789
380,789
381,789
382,789
383,789
384,789
385,789
386,789
387,789
388,789
389,789
390,789
391,790
392,790
393,790
394,790
395,790
396,790
397,790
398,790
399,790
400,791
401,791
402,793
403,793
404,794
405,795
406,795
407,795
408,797
409,797
410,797
411,797
412,799
413,799
414,800
415,800
416,800
417,801
418,801
419,801
420,801
421,801
422,801
423,801
424,801
425,801
426,801
427,801
428,801
429,801
430,801
431,801
432,801
433,801
434,801
435,801
436,801
437,801
438,801
439,801
440,801
441,801
442,801
443,801
444,801
445,801
446,801
447,801
448,801
449,801
450,801
451,801
452,801
453,801
454,801
455,801
456,801
457,801
458,801
459,801
460,801
461,801
462,801
463,802
464,802
465,802
466,802
467,802
468,802
469,802
470,802
471,802
472,802
473,802
474,803
475,803
476,803
477,803
478,803
479,803
480,803
481,803
482,803
483,803
484,805
485,807
486,807
487,808
488,808
489,808
490,809
491,810
492,811
493,812
494,812
495,812
496,813
497,813
498,814
499,814
500,814
501,815
502,815
503,815
504,815
505,815
506,816
507,818
508,819
509,819
510,820
511,821
512,821
513,821
514,821
515,821
516,821
517,822
518,822
519,822
520,822
521,822
522,823
523,825
524,825
525,826
526,827
527,828
528,828
529,829
530,830
531,830
532,831
533,831
534,831
535,832
536,832
537,835
538,836
539,837
540,837
541,838
542,841
543,842
544,842
545,843
546,843
547,843
548,844
549,849
550,850
551,852
552,853
553,853
554,854
555,854
556,854
557,857
558,860
559,860
560,860
561,861
562,864
563,865
564,865
565,867
566,869
567,870
568,870
569,872
570,873
571,875
572,876
573,876
574,877
575,879
576,879
577,881
578,882
579,885
580,886
581,886
582,886
583,891
584,892
585,892
586,896
587,900
588,902
589,903
590,903
591,904
592,906
593,908
594,908
595,909
596,909
597,910
598,913
599,914
600,916
601,918
602,918
603,918
604,921
605,923
606,923
607,924
608,924
609,924
610,924
