date,areaName,areaCode,newAdmissions,covidOccupiedMVBeds,hospitalCases,plannedCapacityByPublishDate,newDeaths28DaysByPublishDate
2021-10-17,North Somerset,E06000024,,,,,0
2021-10-16,North Somerset,E06000024,,,,,0
2021-10-15,North Somerset,E06000024,,,,,2
2021-10-14,North Somerset,E06000024,,,,,0
2021-10-13,North Somerset,E06000024,,,,,1
2021-10-12,North Somerset,E06000024,,,,,1
2021-10-11,North Somerset,E06000024,,,,,0
2021-10-10,North Somerset,E06000024,,,,,0
2021-10-09,North Somerset,E06000024,,,,,0
2021-10-08,North Somerset,E06000024,,,,,1
2021-10-07,North Somerset,E06000024,,,,,1
2021-10-06,North Somerset,E06000024,,,,,1
2021-10-05,North Somerset,E06000024,,,,,0
2021-10-04,North Somerset,E06000024,,,,,0
2021-10-03,North Somerset,E06000024,,,,,1
2021-10-02,North Somerset,E06000024,,,,,0
2021-10-01,North Somerset,E06000024,,,,,0
2021-09-30,North Somerset,E06000024,,,,,0
2021-09-29,North Somerset,E06000024,,,,,0
2021-09-28,North Somerset,E06000024,,,,,0
2021-09-27,North Somerset,E06000024,,,,,0
2021-09-26,North Somerset,E06000024,,,,,0
2021-09-25,North Somerset,E06000024,,,,,1
2021-09-24,North Somerset,E06000024,,,,,1
2021-09-23,North Somerset,E06000024,,,,,2
2021-09-22,North Somerset,E06000024,,,,,0
2021-09-21,North Somerset,E06000024,,,,,0
2021-09-20,North Somerset,E06000024,,,,,0
2021-09-19,North Somerset,E06000024,,,,,0
2021-09-18,North Somerset,E06000024,,,,,0
2021-09-17,North Somerset,E06000024,,,,,0
2021-09-16,North Somerset,E06000024,,,,,0
2021-09-15,North Somerset,E06000024,,,,,2
2021-09-14,North Somerset,E06000024,,,,,0
2021-09-13,North Somerset,E06000024,,,,,0
2021-09-12,North Somerset,E06000024,,,,,0
2021-09-11,North Somerset,E06000024,,,,,0
2021-09-10,North Somerset,E06000024,,,,,0
2021-09-09,North Somerset,E06000024,,,,,1
2021-09-08,North Somerset,E06000024,,,,,1
2021-09-07,North Somerset,E06000024,,,,,0
2021-09-06,North Somerset,E06000024,,,,,0
2021-09-05,North Somerset,E06000024,,,,,0
2021-09-04,North Somerset,E06000024,,,,,0
2021-09-03,North Somerset,E06000024,,,,,0
2021-09-02,North Somerset,E06000024,,,,,0
2021-09-01,North Somerset,E06000024,,,,,0
2021-08-31,North Somerset,E06000024,,,,,0
2021-08-30,North Somerset,E06000024,,,,,0
2021-08-29,North Somerset,E06000024,,,,,0
2021-08-28,North Somerset,E06000024,,,,,1
2021-08-27,North Somerset,E06000024,,,,,0
2021-08-26,North Somerset,E06000024,,,,,0
2021-08-25,North Somerset,E06000024,,,,,0
2021-08-24,North Somerset,E06000024,,,,,0
2021-08-23,North Somerset,E06000024,,,,,0
2021-08-22,North Somerset,E06000024,,,,,0
2021-08-21,North Somerset,E06000024,,,,,0
2021-08-20,North Somerset,E06000024,,,,,0
2021-08-19,North Somerset,E06000024,,,,,0
