LAD19NM,LAD19CD
Peterborough,E06000031
Luton,E06000032
Bedford,E06000055
Central Bedfordshire,E06000056
Southend-on-Sea,E06000033
Thurrock,E06000034
Cambridge,E07000008
East Cambridgeshire,E07000009
Fenland,E07000010
Huntingdonshire,E07000011
South Cambridgeshire,E07000012
Babergh,E07000200
Ipswich,E07000202
Mid Suffolk,E07000203
East Suffolk,E07000244
West Suffolk,E07000245
Basildon,E07000066
Braintree,E07000067
Brentwood,E07000068
Castle Point,E07000069
Chelmsford,E07000070
Colchester,E07000071
Epping Forest,E07000072
Harlow,E07000073
Maldon,E07000074
Rochford,E07000075
Tendring,E07000076
Uttlesford,E07000077
Broxbourne,E07000095
Dacorum,E07000096
East Hertfordshire,E07000242
Hertsmere,E07000098
North Hertfordshire,E07000099
St Albans,E07000240
Stevenage,E07000243
Three Rivers,E07000102
Watford,E07000103
Welwyn Hatfield,E07000241
Breckland,E07000143
Broadland,E07000144
Great Yarmouth,E07000145
King's Lynn and West Norfolk,E07000146
North Norfolk,E07000147
Norwich,E07000148
South Norfolk,E07000149
