LAD19NM,LAD19CD
Medway,E06000035
Bracknell Forest,E06000036
West Berkshire,E06000037
Reading,E06000038
Slough,E06000039
Windsor and Maidenhead,E06000040
Wokingham,E06000041
Milton Keynes,E06000042
Brighton and Hove,E06000043
Cherwell,E07000177
Portsmouth,E06000044
Oxford,E07000178
Southampton,E06000045
South Oxfordshire,E07000179
Isle of Wight,E06000046
Vale of White Horse,E07000180
Aylesbury Vale,E07000004
West Oxfordshire,E07000181
Chiltern,E07000005
South Bucks,E07000006
Wycombe,E07000007
Eastbourne,E07000061
Hastings,E07000062
Lewes,E07000063
Elmbridge,E07000207
Epsom and Ewell,E07000208
Guildford,E07000209
Mole Valley,E07000210
Reigate and Banstead,E07000211
Runnymede,E07000212
Spelthorne,E07000213
Surrey Heath,E07000214
Tandridge,E07000215
Waverley,E07000216
Woking,E07000217
Adur,E07000223
Arun,E07000224
Chichester,E07000225
Crawley,E07000226
Horsham,E07000227
Mid Sussex,E07000228
Worthing,E07000229
Rother,E07000064
Wealden,E07000065
Basingstoke and Deane,E07000084
East Hampshire,E07000085
Eastleigh,E07000086
Fareham,E07000087
Gosport,E07000088
Hart,E07000089
Havant,E07000090
New Forest,E07000091
Rushmoor,E07000092
Test Valley,E07000093
Winchester,E07000094
Ashford,E07000105
Canterbury,E07000106
Dartford,E07000107
Dover,E07000108
Gravesham,E07000109
Maidstone,E07000110
Sevenoaks,E07000111
Folkestone and Hythe,E07000112
Swale,E07000113
Thanet,E07000114
Tonbridge and Malling,E07000115
Tunbridge Wells,E07000116
