LAD19NM,LAD19CD
Wiltshire,E06000054
Mendip,E07000187
Sedgemoor,E07000188
South Somerset,E07000189
Somerset West and Taunton,E07000246
East Devon,E07000040
Exeter,E07000041
Mid Devon,E07000042
North Devon,E07000043
South Hams,E07000044
Teignbridge,E07000045
Torridge,E07000046
West Devon,E07000047
Bath and North East Somerset,E06000022
"Bristol, City of",E06000023
North Somerset,E06000024
South Gloucestershire,E06000025
Cornwall,E06000052
Isles of Scilly,E06000053
Plymouth,E06000026
Torbay,E06000027
"Bournemouth, Christchurch and Poole",E06000058
Dorset,E06000059
Swindon,E06000030
Cheltenham,E07000078
Cotswold,E07000079
Forest of Dean,E07000080
Gloucester,E07000081
Stroud,E07000082
Tewkesbury,E07000083
