msoa11cd,msoa11nm
E02004788,New Forest 010
E02004794,New Forest 016
E02004796,New Forest 018
E02004790,New Forest 012
E02004799,New Forest 021
E02004798,New Forest 020
E02004800,New Forest 022
E02004793,New Forest 015
E02004792,New Forest 014
E02004801,New Forest 023
E02004795,New Forest 017
E02004791,New Forest 013
E02004784,New Forest 006
E02004781,New Forest 003
E02004783,New Forest 005
E02004785,New Forest 007
E02004780,New Forest 002
E02004782,New Forest 004
E02004786,New Forest 008
E02004787,New Forest 009
E02004789,New Forest 011
E02004797,New Forest 019
E02004779,New Forest 001
