msoa11cd,msoa11nm
E02006681,Wiltshire 023
E02006690,Wiltshire 039
E02006689,Wiltshire 037
E02006692,Wiltshire 042
E02006695,Wiltshire 047
E02006693,Wiltshire 043
E02006694,Wiltshire 044
E02006669,Wiltshire 054
E02006665,Wiltshire 050
E02006691,Wiltshire 040
E02006688,Wiltshire 036
E02006684,Wiltshire 031
E02006687,Wiltshire 035
E02006686,Wiltshire 033
E02006685,Wiltshire 032
E02006683,Wiltshire 030
E02006679,Wiltshire 021
E02006639,Wiltshire 028
E02006682,Wiltshire 027
E02006644,Wiltshire 001
E02006645,Wiltshire 002
E02006648,Wiltshire 005
E02006634,Wiltshire 012
E02006640,Wiltshire 029
E02006642,Wiltshire 038
E02006638,Wiltshire 026
E02006637,Wiltshire 025
E02006636,Wiltshire 024
E02006641,Wiltshire 034
E02006658,Wiltshire 016
E02006657,Wiltshire 015
E02006655,Wiltshire 013
E02006664,Wiltshire 049
E02006650,Wiltshire 007
E02006656,Wiltshire 014
E02006680,Wiltshire 022
E02006678,Wiltshire 020
E02006659,Wiltshire 017
E02006660,Wiltshire 018
E02006651,Wiltshire 008
E02006653,Wiltshire 010
E02006652,Wiltshire 009
E02006654,Wiltshire 011
E02006647,Wiltshire 004
E02006646,Wiltshire 003
E02006649,Wiltshire 006
E02006635,Wiltshire 019
E02006675,Wiltshire 060
E02006671,Wiltshire 056
E02006672,Wiltshire 057
E02006673,Wiltshire 058
E02006670,Wiltshire 055
E02006674,Wiltshire 059
E02006666,Wiltshire 051
E02006668,Wiltshire 053
E02006643,Wiltshire 041
E02006677,Wiltshire 062
E02006667,Wiltshire 052
E02006661,Wiltshire 045
E02006663,Wiltshire 048
E02006676,Wiltshire 061
E02006662,Wiltshire 046
E02006056,Mendip 010
E02006059,Mendip 013
E02006050,Mendip 004
E02006053,Mendip 007
E02006047,Mendip 001
E02006049,Mendip 003
E02006048,Mendip 002
E02006060,Mendip 014
E02006058,Mendip 012
E02006057,Mendip 011
