date,areaName,areaCode,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
2021-10-17,North Somerset,E06000024,168129,159287
2021-10-16,North Somerset,E06000024,168129,159287
2021-10-15,North Somerset,E06000024,168129,159287
2021-10-14,North Somerset,E06000024,168100,159244
2021-10-13,North Somerset,E06000024,168078,159193
2021-10-12,North Somerset,E06000024,168046,159129
2021-10-11,North Somerset,E06000024,168004,159058
2021-10-10,North Somerset,E06000024,167980,159030
2021-10-09,North Somerset,E06000024,167975,158984
2021-10-08,North Somerset,E06000024,167936,158859
2021-10-07,North Somerset,E06000024,167909,158794
2021-10-06,North Somerset,E06000024,167887,158696
2021-10-05,North Somerset,E06000024,167849,158611
2021-10-04,North Somerset,E06000024,167820,158578
2021-10-03,North Somerset,E06000024,167794,158531
2021-10-02,North Somerset,E06000024,167789,158515
2021-10-01,North Somerset,E06000024,167750,158386
2021-09-30,North Somerset,E06000024,167699,158335
2021-09-29,North Somerset,E06000024,167644,158262
2021-09-28,North Somerset,E06000024,167573,158182
2021-09-27,North Somerset,E06000024,167538,158104
2021-09-26,North Somerset,E06000024,167524,158036
2021-09-25,North Somerset,E06000024,167511,158011
2021-09-24,North Somerset,E06000024,167472,157869
2021-09-23,North Somerset,E06000024,167422,157763
2021-09-22,North Somerset,E06000024,167343,157539
2021-09-21,North Somerset,E06000024,167329,157472
2021-09-20,North Somerset,E06000024,167314,157394
2021-09-19,North Somerset,E06000024,167290,157305
2021-09-18,North Somerset,E06000024,167277,157275
2021-09-17,North Somerset,E06000024,167202,157069
2021-09-16,North Somerset,E06000024,167165,156997
2021-09-15,North Somerset,E06000024,167097,156865
2021-09-14,North Somerset,E06000024,167038,156785
2021-09-13,North Somerset,E06000024,167010,156696
2021-09-12,North Somerset,E06000024,166985,156564
2021-09-11,North Somerset,E06000024,166974,156509
2021-09-10,North Somerset,E06000024,166791,156105
2021-09-09,North Somerset,E06000024,166731,155792
2021-09-08,North Somerset,E06000024,166621,155207
2021-09-07,North Somerset,E06000024,166586,155088
2021-09-06,North Somerset,E06000024,166422,154960
2021-09-05,North Somerset,E06000024,166227,154827
2021-09-04,North Somerset,E06000024,166220,154784
2021-09-03,North Somerset,E06000024,166171,154559
2021-09-02,North Somerset,E06000024,166035,154318
2021-09-01,North Somerset,E06000024,165822,154074
2021-08-31,North Somerset,E06000024,165751,153936
2021-08-30,North Somerset,E06000024,165690,153755
2021-08-29,North Somerset,E06000024,165538,153425
2021-08-28,North Somerset,E06000024,165527,153366
2021-08-27,North Somerset,E06000024,165476,153064
2021-08-26,North Somerset,E06000024,165396,152766
2021-08-25,North Somerset,E06000024,165221,152242
2021-08-24,North Somerset,E06000024,165053,152066
2021-08-23,North Somerset,E06000024,165005,151705
2021-08-22,North Somerset,E06000024,164948,151267
2021-08-21,North Somerset,E06000024,164927,151195
2021-08-20,North Somerset,E06000024,164564,150438
2021-08-19,North Somerset,E06000024,164478,149887
2021-08-18,North Somerset,E06000024,164182,149389
2021-08-17,North Somerset,E06000024,164075,149110
2021-08-16,North Somerset,E06000024,164051,148884
2021-08-15,North Somerset,E06000024,164017,148681
2021-08-14,North Somerset,E06000024,164001,148610
2021-08-13,North Somerset,E06000024,163412,147060
2021-08-12,North Somerset,E06000024,163369,146713
2021-08-11,North Somerset,E06000024,163327,146082
2021-08-10,North Somerset,E06000024,163283,145683
2021-08-09,North Somerset,E06000024,163227,145219
2021-08-08,North Somerset,E06000024,163173,144546
2021-08-07,North Somerset,E06000024,163168,144466
2021-08-06,North Somerset,E06000024,163096,143222
2021-08-05,North Somerset,E06000024,163051,142568
