LAD19NM,LAD19CD
Bolton,E08000001
Bury,E08000002
Manchester,E08000003
Allerdale,E07000026
Barrow-in-Furness,E07000027
Carlisle,E07000028
Copeland,E07000029
Eden,E07000030
South Lakeland,E07000031
Oldham,E08000004
Rochdale,E08000005
Salford,E08000006
Stockport,E08000007
Tameside,E08000008
Trafford,E08000009
Wigan,E08000010
Knowsley,E08000011
Liverpool,E08000012
St. Helens,E08000013
Sefton,E08000014
Wirral,E08000015
Cheshire East,E06000049
Halton,E06000006
Warrington,E06000007
Cheshire West and Chester,E06000050
Blackburn with Darwen,E06000008
Blackpool,E06000009
Burnley,E07000117
Chorley,E07000118
Fylde,E07000119
Hyndburn,E07000120
Lancaster,E07000121
Pendle,E07000122
Preston,E07000123
Ribble Valley,E07000124
Rossendale,E07000125
South Ribble,E07000126
West Lancashire,E07000127
Wyre,E07000128
