msoa11cd,msoa11nm
E02005347,Charnwood 003
E02005346,Charnwood 002
E02005348,Charnwood 004
E02005351,Charnwood 007
E02005345,Charnwood 001
E02005352,Charnwood 008
E02005354,Charnwood 010
E02005353,Charnwood 009
E02005349,Charnwood 005
E02005356,Charnwood 012
E02005358,Charnwood 014
E02005357,Charnwood 013
E02005355,Charnwood 011
E02005360,Charnwood 016
E02005350,Charnwood 006
E02005364,Charnwood 020
E02005363,Charnwood 019
E02005365,Charnwood 021
E02005359,Charnwood 015
E02005361,Charnwood 017
E02005362,Charnwood 018
E02005366,Charnwood 022
E02005395,Melton 005
E02005394,Melton 004
E02005392,Melton 002
E02005391,Melton 001
E02005396,Melton 006
E02005393,Melton 003
E02005368,Harborough 002
E02005374,Harborough 008
E02005371,Harborough 005
E02005373,Harborough 007
E02005375,Harborough 009
E02005376,Harborough 010
E02005372,Harborough 006
E02006816,Harborough 011
E02005369,Harborough 003
E02005370,Harborough 004
E02005414,Oadby and Wigston 005
E02006818,Oadby and Wigston 008
E02005416,Oadby and Wigston 007
E02005415,Oadby and Wigston 006
E02006911,Oadby and Wigston 009
E02005412,Oadby and Wigston 003
E02005336,Blaby 004
E02005344,Blaby 012
E02005342,Blaby 010
E02005343,Blaby 011
E02005340,Blaby 008
E02005339,Blaby 007
E02005338,Blaby 006
E02005337,Blaby 005
E02005341,Blaby 009
E02005335,Blaby 003
E02005334,Blaby 002
E02006820,Blaby 013
E02005384,Hinckley and Bosworth 008
E02005380,Hinckley and Bosworth 004
E02005377,Hinckley and Bosworth 001
E02005388,Hinckley and Bosworth 012
E02005386,Hinckley and Bosworth 010
E02005385,Hinckley and Bosworth 009
E02005387,Hinckley and Bosworth 011
E02005389,Hinckley and Bosworth 013
E02005390,Hinckley and Bosworth 014
E02005382,Hinckley and Bosworth 006
E02005378,Hinckley and Bosworth 002
E02005379,Hinckley and Bosworth 003
E02005381,Hinckley and Bosworth 005
E02005383,Hinckley and Bosworth 007
E02005408,North West Leicestershire 012
E02005404,North West Leicestershire 008
E02005397,North West Leicestershire 001
E02005401,North West Leicestershire 005
E02005398,North West Leicestershire 002
E02005405,North West Leicestershire 009
E02005399,North West Leicestershire 003
E02005406,North West Leicestershire 010
E02005409,North West Leicestershire 013
E02005400,North West Leicestershire 004
E02005407,North West Leicestershire 011
E02005403,North West Leicestershire 007
E02005402,North West Leicestershire 006
E02006851,Leicester 041
E02006850,Leicester 040
E02002844,Leicester 018
E02002836,Leicester 010
E02002834,Leicester 008
E02002856,Leicester 030
E02002849,Leicester 023
E02002843,Leicester 017
E02002847,Leicester 021
E02002848,Leicester 022
E02002853,Leicester 027
E02006817,Leicester 038
E02002858,Leicester 032
E02002851,Leicester 025
E02002861,Leicester 035
E02002857,Leicester 031
E02002860,Leicester 034
E02002855,Leicester 029
E02002862,Leicester 036
E02002846,Leicester 020
E02002832,Leicester 006
E02002854,Leicester 028
E02006819,Leicester 039
E02002852,Leicester 026
E02002842,Leicester 016
E02002838,Leicester 012
E02002830,Leicester 004
E02002829,Leicester 003
E02002827,Leicester 001
E02002828,Leicester 002
E02002833,Leicester 007
E02002831,Leicester 005
E02002837,Leicester 011
E02002835,Leicester 009
E02002839,Leicester 013
E02006815,Leicester 037
E02002845,Leicester 019
